country,ALL,<15yr,15-24yr,25-49yr,50-64yr,65-79yr,80+yr
Albania,2837849.0,489127.10792653577,422011.95007118117,944813.9858612799,564601.5887692153,333752.462509801,83541.90486198638
Andorra,77265.0,,,,,,
Armenia,2963234.0,617311.9999999998,346973.99999999977,1089468.0,559734.0,258064.00000000006,91682.00000000006
Austria,8916864.0,1285115.8916200667,951576.0325398347,2998191.5574149457,1969585.9950411986,1229052.8435581243,483341.6798258304
Azerbaijan,10093121.0,2373429.245156726,1350203.1389344253,3919468.8196837334,1769587.5393254063,547983.6053329052,132448.65156680334
Belarus,9379952.0,1617136.556578387,862718.8114473525,3442619.292555292,1996063.2006572757,1095675.956394201,365738.1823674922
Belgium,11544241.0,1966442.83351983,1293400.249019239,3736134.0069872173,2325507.519284106,1567221.9865824075,655534.4046072016
Bosnia and Herzegovina,3280815.0,476452.0,381203.0,1093227.0,742149.0,464326.0,123458.00000000015
Bulgaria,6934015.0,1017876.7542148735,613458.3665852072,2405021.0469882917,1409069.662384351,1163241.2367153354,325347.9331119405
Channel Islands,173859.0,26033.000000000004,19747.0,60134.99999999999,36797.000000000015,22685.999999999996,8461.000000000004
Croatia,4047680.0,588595.8098069462,426968.3488357748,1313671.858465395,858220.7425979893,629331.2419313581,230891.99836253683
Cyprus,1207361.0,200148.0,167364.0,453357.0,212527.0,134093.00000000006,39871.99999999997
Czech Republic,10697858.0,1685506.3506826698,958118.7142380383,3906443.9411215875,1992919.6929611675,1710215.6635335796,444653.63746295276
Denmark,5831404.0,949456.6201102964,717673.4830935374,1824779.8891100963,1163651.5244909911,901022.0278111727,274820.4553839044
Estonia,1329479.0,219339.04898885608,120569.62893647293,467148.0578760443,251564.30716482556,191599.6938801497,79258.26315365123
Faroe Islands,48865.0,,,,,,
Finland,5529543.0,877268.0734187756,608321.6043407233,1721760.3853855305,1075030.4035617686,936771.8199598258,310390.71333337546
France,67379908.0,11895017.929608054,7829572.052432766,20656479.22164816,13015178.8208936,9826430.82075546,4157229.1546619674
Georgia,3722716.0,752746.0828105065,420882.69859092816,1260112.557873962,721136.5576343088,428820.5086491006,139017.59444119403
Germany,83160871.0,11605595.305073652,8607913.120788567,25746393.869518824,19165500.520559996,12203420.175008088,5832048.009050874
Gibraltar,33691.0,,,,,,
Greece,10700556.0,1461259.1721304734,1084149.4998788598,3530275.450244624,2240320.7580603277,1577630.0469763111,806921.072709405
Greenland,56367.0,,,,,,
Hungary,9750149.0,1404865.833465971,1013119.8476032254,3511442.432286747,1854789.6367692738,1530787.5720566404,435143.677818142
Iceland,366463.0,71180.2686754915,46965.253338862036,123921.94561489864,67141.39169164177,43535.267823801485,13718.872855304648
Ireland,4985674.0,1038628.0667523699,607554.4156988405,1753649.496922705,859030.3671633133,567045.4013751394,159766.25208763193
Isle of Man,85032.0,,,,,,
Italy,59449527.0,7720881.553369546,5721177.329561222,18860217.973630037,13294383.478590999,9400138.317653889,4452728.347194319
Kazakhstan,18754440.0,5465827.462011155,2214033.2941743815,6745053.649151213,2847398.3082652865,1178676.5696173576,303450.7167806071
Kosovo,1790133.0,,,,,,
Kyrgyz Republic,6579900.0,2148264.3676504986,1023126.3409935163,2289071.5195155386,808347.913547481,257146.14052183714,53943.71777112614
Latvia,1900449.0,312282.0565155797,157261.93189837842,640603.3600481908,397150.29787140735,285053.9695820803,108097.38408436342
Liechtenstein,38137.0,,,,,,
Lithuania,2794885.0,432591.0528867226,262627.4444163596,900085.6893156592,623331.3343085744,399897.9247165726,176351.55435611153
Luxembourg,630419.0,98078.2251329715,74782.0407137149,240307.61397854268,126528.73532666176,65677.87797571444,25044.50687239466
Malta,525285.0,,,,,,
Moldova,2620495.0,416352.00724576093,288123.27010514284,1082506.2603666955,506135.65367756324,269686.7583785232,57691.0502263145
Monaco,39244.0,,,,,,
Montenegro,621306.0,112112.89323500707,79550.96883406374,212883.13284303574,118782.37695968038,76793.9605556766,21182.66757253663
Netherlands,17441500.0,2738608.5875140945,2073186.2569165286,5421002.915748928,3714328.041880455,2642524.4050039304,851849.7929360641
North Macedonia,2072531.0,338033.5065181277,250184.36788632045,774512.684299393,409752.086754171,248164.94450700536,51883.4100349824
Norway,5379475.0,928341.2265786191,669873.0106027534,1822616.9419979798,1015804.1523796644,715862.942012447,226976.72642853716
Poland,37899070.0,5767368.970026065,3705734.978098975,14025354.787805416,7298531.610959565,5356828.64275234,1745251.0103576407
Portugal,10297081.0,1344177.7982263975,1075484.625458179,3357815.3549859254,2174724.805845002,1655759.0198042092,689119.3956802872
Romania,19257520.0,2988886.984460444,2006488.9730453654,6695652.487448441,3863097.542477791,2779119.883468168,924274.1290997908
Russian Federation,144104080.0,26460769.81771852,13524683.292072875,53161712.01375037,28607917.19496151,16764524.498985454,5584473.182511305
San Marino,33938.0,,,,,,
Serbia,6899126.0,1060197.6603753995,822804.1833435737,2383106.1008155597,1318147.0814714027,1045681.4351203825,269189.53887368354
Slovak Republic,5458827.0,849041.088256812,553540.2588339709,2073773.0194978535,1070894.918693442,731974.5702865638,179603.1444313578
Slovenia,2102419.0,318232.1072008989,190312.05778082483,706040.4843446559,451842.72547049297,320422.567706021,115569.05749710611
Spain,47363419.0,6820081.355018823,4552533.598737232,16413095.843601186,10115627.240568556,6500178.502727951,2961902.459346243
Sweden,10353442.0,1824646.1791611328,1112318.8895790502,3401060.38564496,1910686.4278181677,1559258.0343876986,545472.0834089903
Switzerland,8636561.0,1291912.9192742698,907486.6621775314,2935218.1580437133,1852571.7140166545,1191114.6590308878,458256.8874569434
Tajikistan,9537642.0,3554688.0000000005,1645092.0,3087449.0,947140.0000000002,259246.0000000003,44027.0
Turkey,84339067.0,20192508.000000007,13591930.0,30625454.000000004,12354623.0,6099771.000000001,1474781.0000000002
Turkmenistan,6031187.0,1857113.0000000005,946097.0,2203960.0,736453.0,236908.00000000026,50656.00000000012
Ukraine,44134693.0,7057365.430559533,4163644.9208946945,16517859.66503657,8915371.143592661,5646940.637079168,1833511.2028373752
United Kingdom,67215293.0,11881832.564733462,7684096.871674249,22162195.47549621,12949266.132120032,9121377.898948189,3416524.057027865
Uzbekistan,34232050.0,9858847.47450949,5438973.910168386,12961182.06786383,4333721.687283771,1374012.4538774397,265312.406297078
